ID	Title	Author	Year	NetID	Original Language	Genre	Author Age	Author Gender	Source
19337	A Christmas Carol	Charles Dickens	1843	jwy37	English	Fiction	31	Male	Wikipedia
244	A Study in Scarlet	Arthur Conan Doyle	1887	kg344	English	Detective Fiction	28	Male	Wikipedia
98	A Tale of Two Cities	Charles Dickens	1859	jjc382	English	Historical Fiction	47	Male	
76	Adventures of Huckleberry Finn	Mark Twain	1885	ezl4	English	Fiction	49	Male	Wikipedia
21	Aesop's Fables	Aesop	???	asy8	Greek	Fables	?	Male	Wikipedia
28885	Alice's Adventures in Wonderland	Lewis Carroll	1865	rgw66	English	Children's Fiction	33	Male	
1399	Аnna Karenina	Leo Tolstoy	1877	lz299	Russian	Realist fiction	47	Male	PG, WP
45	Anne of Green Gables	L.M. Montgomery	1908	ajt232	English	Children's Fiction	34	Female	
103	Around the World in Eighty Days	Jules Verne	1873	sa655	French	Adventure fiction	45	Male	Wikipedia
19942	Candide	Voltaire	1759	sz244	French	Philosophical Fiction	65	Male	Wikipedia
996	Don Quixote	Miguel de Cervantes Saavedra	1615	xzp2	Spanish	Satire novel	58	Male	
345	Dracula	Bram Stoker	1897	cjs346	English	Horror, Gothic	50	Male	
2814	Dubliners	James Joyce	1914	tgn8	English	Short Stories	32	Male	Wikipedia
4517	Ethan Frome	Edith Wharton	1911	pcr43	English	Tragic Romance	49	Female	Wikipedia
42324	Frankenstein	Mary WollstoneCraft Shelley	1818	hjl74	English	Horror	20	Female	Wikipedia
526	Heart of Darkness	Joseph Conrad	1899	cy288	English	Psychological Fiction	42	Male	
82	Ivanhoe	Walter Scott	1820	kmb266	English	Historical Novel			
1260	Jane Eyre	Charlotte Bronte	1847	id96	English	Romance	31	Female	
135	Les Misérables	Victor Hugo	1862	amr276	French	Historical Fiction	60	Male	Wikipedia
514	Little Women	Louisa May Alcott	1868	kpl44	English	Coming-of-age	36	Female	"coming of age"
2264	Macbeth	Shakespeare	1606	cz238	English	Tragedy	~42	Male	Wikipedia
5200	Metamorphosis	Franz Kafka	1915	ap843	German	Tragedy	32	Male	
