V0	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	Title
-0.119825	0.038215	-0.077233	0.030583	-0.028783	0.051330	-0.039995	0.033858	-0.106339	0.029733	-0.046401	-0.072720	0.198917	-0.221919	0.099959	-0.161692	0.023405	-0.029128	0.090101	-0.053151	0.087132	-0.124477	-0.052258	-0.046735	0.129690	-0.062938	-0.128157	0.172048	0.060801	0.064826	-0.196566	-0.146111	-0.032456	0.229769	0.049126	0.291014	-0.020830	-0.170916	-0.127289	-0.101755	-0.386745	0.358492	0.253251	0.115804	-0.079985	-0.168200	-0.091792	-0.002854	-0.080677	0.049881	0.076528	0.031685	0.127855	0.010228	-0.077601	-0.005145	-0.031338	-0.028368	-0.061292	-0.011940	0.048382	0.063643	0.020195	0.033105	0.015425	-0.024736	-0.009718	-0.031481	0.038597	-0.013497	A Christmas Carol
-0.124796	0.000029	-0.011826	-0.044771	-0.121407	0.066295	0.034768	0.139118	-0.031273	0.021260	-0.003326	-0.004656	0.006061	0.007955	0.009790	-0.025213	-0.049506	0.112539	0.092451	0.008950	0.031180	-0.007760	0.068832	-0.003908	0.002775	-0.036708	-0.005891	-0.001852	-0.084421	0.104258	0.008170	-0.071515	0.037486	-0.103709	0.102160	0.000317	0.092847	-0.017907	-0.119990	0.043152	0.053721	0.073702	0.006627	-0.045275	-0.010172	0.083684	-0.072499	-0.009459	0.099740	-0.007475	0.005850	0.000832	-0.015032	-0.029617	-0.077541	-0.062609	0.008034	-0.014215	0.045666	0.159707	-0.097903	0.043196	-0.290787	-0.263538	-0.200901	-0.367069	-0.305038	0.255287	-0.458181	-0.240591	A Study in Scarlet
-0.125655	0.027679	-0.041248	-0.020557	0.002987	0.007975	0.022558	0.049458	-0.060509	-0.052167	-0.037249	0.002737	0.018178	-0.010605	0.098398	-0.078891	0.000368	0.105249	0.050266	-0.100778	0.057785	-0.024321	-0.090633	0.007032	0.070705	-0.070578	0.001052	0.010933	0.022953	-0.008535	-0.011412	-0.086303	0.021842	0.140629	0.020954	0.001172	-0.003228	0.073023	-0.013170	-0.035798	0.088586	-0.056341	-0.064360	-0.021786	0.010162	-0.075847	0.028459	-0.099908	0.054094	-0.007882	-0.006550	0.019749	0.069965	0.046695	0.106196	0.065855	0.291098	0.194591	0.118708	0.015087	0.110825	-0.135426	-0.273323	-0.404641	-0.284652	0.546103	0.021056	0.086358	0.082332	0.118842	A Tale of Two Cities
-0.120912	-0.142760	-0.256890	0.159240	-0.280014	-0.261396	-0.213477	-0.005490	-0.290596	-0.108743	0.108772	-0.028520	-0.211862	-0.038428	0.079355	0.064075	-0.048415	-0.013887	-0.048300	0.104871	-0.058696	-0.122539	0.136904	-0.025782	0.029150	0.069707	0.216739	-0.005254	0.002725	-0.277528	-0.082306	0.157116	-0.086604	-0.124680	0.107249	0.210466	0.063488	0.154542	-0.081366	0.101633	-0.051918	0.062369	0.057532	-0.113319	-0.009639	0.212091	0.106559	-0.202250	-0.050104	0.065417	-0.011885	0.015234	0.119179	0.054324	0.011921	0.098008	-0.019674	-0.032183	0.029710	-0.068771	0.044438	-0.077121	0.006007	-0.000717	-0.030031	-0.021638	-0.045907	-0.010964	0.063555	0.014774	Adventures of Huckleberry Finn
-0.136165	0.080742	-0.035617	0.121584	0.015925	0.092525	-0.029252	-0.093025	-0.037304	-0.050824	-0.278299	0.310589	0.017119	-0.041556	-0.173628	-0.191851	-0.149566	-0.064138	0.070431	0.025908	0.186612	-0.059926	0.102031	-0.001860	0.364000	0.109687	0.046610	0.129087	0.070656	0.197772	0.278988	0.254895	-0.024515	-0.185397	-0.101528	0.169174	0.031680	-0.124761	-0.073209	-0.249673	-0.012777	-0.109012	-0.200242	-0.088772	0.094118	0.045795	-0.018151	-0.056995	-0.068822	-0.029151	0.025005	-0.047617	-0.031207	-0.022461	0.077079	0.060233	-0.038012	-0.014804	-0.014040	0.029584	0.057383	-0.020233	0.010119	-0.003008	-0.013996	-0.022277	0.006078	-0.053073	0.011404	0.002251	Aesop's Fables
-0.119470	0.003203	-0.099867	-0.109829	-0.021292	-0.114606	0.019667	-0.510183	0.028217	0.199124	0.108906	-0.070672	0.120815	-0.275275	-0.066608	-0.223248	0.090418	0.041577	-0.137882	0.187884	-0.195337	-0.083102	-0.150888	0.110591	-0.218079	-0.272673	0.088644	0.141200	-0.044301	0.117755	0.230810	-0.056054	-0.085780	-0.210469	-0.046235	0.043878	0.044229	0.068862	-0.058471	-0.044621	0.127526	0.025606	0.008440	0.085739	-0.062126	-0.021120	-0.007294	-0.044264	0.068360	0.003073	-0.033575	0.015232	0.040520	0.023375	0.007453	0.031890	-0.008125	0.044633	-0.027525	0.045220	-0.034101	0.028194	0.033939	-0.061301	-0.003891	0.011013	-0.026958	-0.009463	0.019175	-0.020204	Alice's Adventures in Wonderland
-0.116892	-0.005807	-0.171117	-0.027010	0.087485	0.076094	0.121688	0.010104	-0.056648	-0.088398	0.110948	-0.003859	-0.054224	0.127168	-0.012265	0.001571	0.013161	0.074994	0.093469	0.020736	-0.004605	0.071645	-0.073262	0.113310	-0.060652	0.034987	-0.017846	0.027363	0.030612	0.011168	0.111118	-0.027080	-0.114483	-0.015261	-0.001870	-0.078738	-0.108108	0.048127	0.177358	-0.158205	0.024489	0.167562	0.057247	0.103775	0.180844	0.108541	-0.126425	-0.065164	-0.233104	-0.061840	0.261247	0.196399	0.029746	0.008925	0.129736	0.271791	0.026593	-0.105844	0.221475	-0.285488	-0.337174	0.225974	-0.181605	0.067443	-0.060037	-0.043123	0.120200	-0.067809	-0.053208	0.026161	Аnna Karenina
-0.104885	-0.167815	-0.128562	-0.122667	-0.080114	-0.185510	-0.042868	-0.152255	-0.081157	-0.118577	0.257811	0.068814	-0.144978	0.087192	-0.013290	-0.007385	-0.050925	0.092250	-0.104956	0.075688	0.055110	-0.149981	0.212724	0.069528	0.204415	-0.090181	-0.351342	-0.086063	-0.016645	0.040586	0.014004	-0.194242	0.117274	0.173476	-0.410647	-0.261871	0.144828	-0.115311	-0.053246	-0.021647	-0.171612	-0.081260	-0.084344	0.026238	0.031222	0.007229	-0.008377	-0.048787	0.028007	-0.015568	-0.040227	-0.009460	-0.089855	-0.103067	-0.067369	0.029564	-0.046130	0.044559	0.005245	-0.004927	0.043197	0.123340	-0.009801	0.014828	0.044376	0.029147	-0.031606	0.003713	-0.020644	-0.001892	Anne of Green Gables
-0.128988	0.157277	0.014185	-0.032209	-0.009290	0.074052	0.057370	0.008956	0.033258	0.028610	-0.071119	0.110371	-0.071596	-0.109443	0.011099	-0.101063	-0.146234	-0.204553	-0.053953	-0.227072	0.103641	-0.108990	0.155971	-0.119816	-0.147212	-0.244220	0.134371	-0.233275	-0.083354	-0.400315	-0.001328	0.244676	-0.089057	0.100790	-0.166183	-0.220807	-0.040333	-0.024520	-0.108877	-0.073991	0.113252	0.292003	-0.108669	0.234956	-0.054479	-0.062258	-0.061591	-0.006961	0.060688	-0.090976	0.053829	0.030919	0.016244	-0.146680	0.020337	0.023799	-0.042638	-0.001395	-0.068297	-0.000367	-0.033591	-0.031521	0.037613	-0.045259	-0.013869	-0.023927	-0.014048	0.020980	-0.010369	0.004574	Around the World in Eighty Days
-0.122498	-0.001784	0.034243	-0.035851	0.020364	0.056700	-0.067490	0.052619	0.008306	0.099445	-0.035125	0.053971	0.073044	0.065100	-0.133993	-0.298320	-0.030455	-0.080161	0.071628	0.182462	-0.123153	0.138374	0.221977	-0.023172	-0.034929	0.123098	-0.094743	0.088387	0.166363	-0.294086	0.127004	-0.233648	-0.037479	0.071454	0.230648	-0.061161	0.333499	0.034016	0.264270	0.124960	-0.118214	0.071173	-0.312552	0.020604	-0.190699	0.013138	0.088021	0.191068	-0.073377	-0.018893	0.023586	0.024335	0.096712	0.054467	-0.029955	0.070269	0.017443	-0.005098	-0.016481	0.014993	-0.018936	-0.005451	0.059074	-0.046265	-0.021647	0.018577	0.010200	-0.022266	0.003077	-0.021561	Candide
